Booking_ID,Hotel_Type,Hotel_Location,Booking_Date,Arrival_Date,Lead_Time_Days,Weekend_Nights,Weekday_Nights,Adults,Children,Babies,Country,Market_Segment,Distribution_Channel,Is_Repeated_Guest,Previous_Cancellations,Previous_Bookings,Room_Type_Reserved,Room_Type_Assigned,Booking_Changes,Deposit_Type,Agent_ID,Company_ID,Days_In_Waiting_List,Customer_Type,Meal_Type,Total_Nights,ADR,Required_Car_Parking_Spaces,Total_Special_Requests,Satisfaction_Score,Reservation_Status,Is_Canceled,Reservation_Status_Date,Estimated_Revenue,Arrival_Year,Arrival_Month,Arrival_Month_Name,Total_Guests,Revenue_per_Night,Booking_Year,Lead_Time_Days_Outlier,Total_Nights_Outlier,ADR_Outlier,Estimated_Revenue_Outlier,Days_In_Waiting_List_Outlier,Satisfaction_Score_Outlier
HTL024548,City Hotel,London,2024-07-29,2025-07-04,340,2,2,2,0.0,0,ARE,Direct,Direct,1,0,6,H,H,0,Non Refund,103.0,Unknown,5,Contract,HB,4,178.66,0,1,4.37,No-Show,1,2025-07-07,714.65,2025,7,July,2.0,178.6625,2024,False,False,False,False,True,False
HTL019878,City Hotel,London,2024-05-28,2025-02-08,256,1,2,2,2.0,0,JPN,Groups,Direct,0,0,0,H,H,0,No Deposit,80.0,Unknown,3,Contract,Undefined,3,125.81,0,0,3.63,Canceled,1,2025-02-09,377.43,2025,2,February,4.0,125.81,2024,False,False,False,False,True,False
HTL017377,City Hotel,Lisbon,2024-05-10,2024-06-20,41,1,1,4,0.0,0,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,53.0,Unknown,2,Transient,FB,2,148.03,0,0,3.7,Check-Out,0,2024-06-20,296.06,2024,6,June,4.0,148.03,2024,False,False,False,False,False,False
HTL003352,City Hotel,Lisbon,2024-03-15,2024-04-07,23,0,2,2,0.0,0,CAN,Offline TA/TO,TA/TO,0,0,0,H,H,3,No Deposit,96.0,Unknown,0,Contract,HB,2,166.82,0,3,3.18,Check-Out,0,2024-04-08,333.63,2024,4,April,2.0,166.815,2024,False,False,False,False,False,False
HTL012521,City Hotel,London,2024-08-21,2025-05-30,282,0,3,4,0.0,0,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,51.0,Unknown,3,Group,HB,3,76.83,0,1,3.79,Check-Out,0,2025-06-01,230.5,2025,5,May,4.0,76.83333333333333,2024,False,False,False,False,True,False
HTL014174,City Hotel,Dubai,2024-05-17,2025-03-26,313,1,1,2,0.0,0,DNK,Online TA,TA/TO,0,0,0,G,E,1,No Deposit,8.0,Unknown,3,Group,Undefined,2,143.31,0,3,3.3,Canceled,1,2025-03-27,286.62,2025,3,March,2.0,143.31,2024,False,False,False,False,True,False
HTL005872,Resort Hotel,Maldives,2025-07-03,2026-06-16,348,1,3,2,0.0,0,BRA,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,100.0,Unknown,0,Group,SC,4,226.94,0,0,4.22,Canceled,1,2026-06-19,907.75,2026,6,June,2.0,226.9375,2025,False,False,False,False,False,False
HTL015091,City Hotel,Amsterdam,2024-03-23,2024-06-22,91,3,1,2,0.0,0,AUS,Offline TA/TO,TA/TO,0,0,0,C,C,0,Non Refund,38.0,Unknown,0,Transient,Undefined,4,127.13,0,0,4.4,Canceled,1,2024-06-23,508.53,2024,6,June,2.0,127.1325,2024,False,False,False,False,False,False
HTL009423,Resort Hotel,Algarve,2025-03-16,2025-11-10,239,1,0,1,1.0,0,GBR,Online TA,Corporate,0,0,0,C,C,1,No Deposit,160.0,1099.0,0,Transient,BB,1,144.7,1,2,3.85,Canceled,1,2025-11-10,144.7,2025,11,November,2.0,144.7,2025,False,False,False,False,False,False
HTL001216,City Hotel,Amsterdam,2025-04-20,2025-10-25,188,0,1,2,1.0,0,ESP,Direct,Direct,0,0,0,G,B,0,Non Refund,150.0,Unknown,0,Group,HB,1,171.38,1,0,3.71,Canceled,1,2025-10-25,171.38,2025,10,October,3.0,171.38,2025,False,False,False,False,False,False
